name,NGC,NCC,OC,Hindex,i10,ALIS Score for rho between 0.0 to 0.1,(Normalized)ALIS Score for rho between 0.0 to 0.1,ALIS Score for rho between 0.1to 0.99,(Normalized) ALIS Score for rho between 0.1to 0.99,Rank
A7394,0.988134,0.964401,0.966559,0.866666667,0.933333333,3.21E+50,1.0000,109025.5565,1.0000,1
A626,0.992821,0.915897,0.996923,0.9,1,3.20E+50,0.9984,108852.0531,0.9984,2
A6077,0.942014,0.959308,0.96236,0.966666667,1,3.17E+50,0.9877,107676.1966,0.9876,3
A2276,0.946882,0.993072,0.989607,0.533333333,0.766666667,3.15E+50,0.9821,107120.3793,0.9825,4
A1239,0.947917,0.986979,0.989583,0.533333333,0.8,3.15E+50,0.9818,107101.2083,0.9823,5
A2683,0.997691,0.995381,0.993072,0.433333333,0.433333333,3.13E+50,0.9762,106616.6628,0.9779,6
A3043,0.944123,0.996146,0.978805,0.533333333,0.633333333,3.12E+50,0.9730,106154.2083,0.9737,7
A9539,0.973585,0.903774,1,0.733333333,0.733333333,3.12E+50,0.9733,106143.8529,0.9736,8
A5688,0.952922,0.959416,0.982143,0.6,0.666666667,3.11E+50,0.9705,105860.2691,0.9710,9
A3055,0.987083,0.998924,0.925727,0.566666667,0.566666667,3.11E+50,0.9689,105714.2101,0.9696,10
A2225,0.983264,0.927824,0.98431,0.533333333,0.666666667,3.10E+50,0.9670,105495.6315,0.9676,11
A666,0.967413,0.88391,0.962322,0.866666667,0.966666667,3.10E+50,0.9664,105373.5207,0.9665,12
A881,0.885714,0.963265,0.997959,0.7,0.8,3.09E+50,0.9644,105191.6216,0.9648,13
A9560,0.921739,0.997101,0.976812,0.566666667,0.566666667,3.09E+50,0.9639,105165.2841,0.9646,14
A5102,0.993166,0.90205,0.981777,0.5,0.733333333,3.08E+50,0.9617,104921.9258,0.9624,15
A2695,0.925156,0.983368,0.993763,0.466666667,0.566666667,3.08E+50,0.9602,104796.2006,0.9612,16
A4747,0.925245,0.916667,0.997549,0.633333333,0.833333333,3.08E+50,0.9609,104792.9957,0.9612,17
A9479,0.992126,0.940945,0.992126,0.433333333,0.466666667,3.08E+50,0.9594,104763.4005,0.9609,18
A1983,0.892544,0.975877,0.995614,0.633333333,0.633333333,3.08E+50,0.9601,104729.7526,0.9606,19
A6344,0.974763,0.904311,0.954784,0.733333333,0.733333333,3.08E+50,0.9599,104672.6677,0.9601,20
A2304,0.989962,0.823087,0.989962,0.9,0.9,3.08E+50,0.9595,104636.7296,0.9597,21
A5009,0.93742,0.974457,0.932312,0.666666667,0.7,3.08E+50,0.9592,104605.9361,0.9595,22
A4096,0.923684,0.986842,0.997368,0.466666667,0.5,3.07E+50,0.9581,104592.1789,0.9593,23
A9239,0.966443,0.975391,0.941834,0.5,0.6,3.07E+50,0.9585,104586.1655,0.9593,24
A3918,0.954469,0.920742,0.989882,0.5,0.733333333,3.07E+50,0.9584,104555.7634,0.9590,25
A2914,0.980998,0.985748,0.828979,0.9,0.933333333,3.07E+50,0.9587,104546.4979,0.9589,26
A3405,0.994312,0.843003,1,0.6,0.866666667,3.07E+50,0.9577,104468.6555,0.9582,27
A6489,0.965785,0.933126,0.923795,0.666666667,0.8,3.07E+50,0.9564,104289.8988,0.9566,28
A898,0.939331,0.92887,0.997908,0.566666667,0.566666667,3.06E+50,0.9547,104160.3218,0.9554,29
A5300,0.984127,0.955026,0.973545,0.433333333,0.433333333,3.06E+50,0.9536,104137.7043,0.9552,30
A2946,0.922951,0.980328,0.944262,0.6,0.633333333,3.06E+50,0.9540,104063.6593,0.9545,31
A2750,0.951883,0.98954,0.972803,0.4,0.433333333,3.05E+50,0.9506,103944.4887,0.9534,32
A8067,0.9106,0.971903,0.993614,0.5,0.533333333,3.05E+50,0.9521,103913.2825,0.9531,33
A9149,0.901099,0.881563,0.997558,0.866666667,0.9,3.06E+50,0.9530,103912.2828,0.9531,34
A3733,0.976159,0.880795,0.964238,0.633333333,0.866666667,3.07E+50,0.9560,103744.2556,0.9516,35
A543,0.931235,0.90676,0.955711,0.766666667,0.8,3.05E+50,0.9513,103720.147,0.9513,36
A1364,0.969512,0.872967,0.98374,0.6,0.733333333,3.05E+50,0.9507,103697.3572,0.9511,37
A6377,0.953283,0.834596,0.996212,0.8,0.866666667,3.04E+50,0.9496,103553.3896,0.9498,38
A9249,0.940404,0.89596,0.938384,0.833333333,0.833333333,3.04E+50,0.9487,103453.5152,0.9489,39
