name,NGC,NCC,OC,Hindex,i10,ALIS Score for rho between 0.0 to 0.1,(Normalized)ALIS Score for rho between 0.0 to 0.1,ALIS Score for rho between 0.1to 0.99,(Normalized) ALIS Score for rho between 0.1to 0.99,Rank
A2103,1,0.59,1,0.4,0.5,3.31E+50,1.0000,112603.0875,1.00000,1
A5105,0.001,1,1,0.8,1,3.31E+50,1.0000,112603.0875,1.00000,2
A215,1,0.3446,1,0.533333333,0.766666667,3.30E+50,0.9979,112365.1263,0.99789,3
A8494,0.3085,1,1,0.466666667,0.7,3.30E+50,0.9979,112365.1293,0.99789,4
A8404,0.1111,1,1,0.133333333,0.1,3.30E+50,0.9979,112365.1293,0.99789,5
A1192,0.0678,1,1,0.566666667,0.633333333,3.30E+50,0.9979,112365.1293,0.99789,6
A9755,0.0068,1,1,0.6,0.833333333,3.30E+50,0.9968,112242.5758,0.99680,7
A1651,0.2562,1,1,0.533333333,0.8,3.30E+50,0.9967,112234.8293,0.99673,8
A9296,0.0294,1,1,0.833333333,0.933333333,3.30E+50,0.9967,112234.8293,0.99673,9
A7309,1,1,1,0.1,0.066666667,3.30E+50,0.9957,112120.1426,0.99571,10
A1577,1,1,0.9167,0.133333333,0.1,3.30E+50,0.9957,112120.1426,0.99571,11
A2475,1,0.5518,0.893,0.533333333,0.766666667,3.30E+50,0.9957,112120.1426,0.99571,12
A9566,0.2329,1,1,0.566666667,0.733333333,3.30E+50,0.9957,112120.1426,0.99571,13
A4147,1,0.6687,1,0.566666667,0.666666667,3.30E+50,0.9957,112120.1426,0.99571,14
A7540,0.2509,1,1,0.666666667,0.866666667,3.30E+50,0.9957,112120.1426,0.99571,15
A9218,1,0.6071,0.8699,0.433333333,0.6,3.30E+50,0.9957,112120.1426,0.99571,16
A1788,0.4386,1,1,0.566666667,0.766666667,3.30E+50,0.9957,112116.1441,0.99568,17
A3820,0.4696,0.5541,1,0.5,0.533333333,3.29E+50,0.9945,111983.9036,0.99450,18
A9623,0.1022,1,1,0.666666667,0.7,3.29E+50,0.9945,111892.2998,0.99369,19
