ALIS,Authors,Author ID,NGC,NCC,OC,TC,WSC,Institute,hindex,i10,advisees,papers published,GC,CC,SC,(fraction of Dependence)
0.988894,vinayak vatsal,A20,1,1,1,7,7,PRINCETON UNIVERSITY,2,1,2,4,0,0,0,0
0.988894,hocine mokais,A72,1,1,1,2,2,univ of wisconsin,1,0,1,2,0,0,0,0
0.986257,pedro felipe,A57,0.998,0.997,0.997,5389,5376,MIT,9,9,2,12,10,14,13,0.004464286
0.985926,Paul Neville Balister,A6,0.991,1,1,107,107,University of Cambridge ,4,2,3,4,1,0,0,0.009345794
0.985597,arnold kas,A87,1,0.995,0.995,2398,2388,stanford university,11,11,2,26,0,11,10,0.004606365
0.984938,Michael John T,A78,0.998,0.997,0.993,6451,6409,University of cambrigde,30,35,1,174,13,19,42,0.004992979
0.984937,heisterkamp douglas,A48,1,0.988,1,86,86,University of Nebraska-Lincoln,3,3,2,6,0,1,0,0.011627907
0.983949,steven mark f,A60,0.998,0.993,0.994,917,912,stanford university,8,8,12,12,11,6,5,0.018640351
0.98263,Christopher andrew jones,A77,1,0.992,0.989,1862,1843,University of cambrigde,16,20,4,108,0,15,19,0.008138904
0.9823,molinari francesca,A96,1,0.991,0.989,5183,5130,northwestern university,22,20,1,68,0,43,53,0.008382066
0.977947,david eli weistein,A42,1,0.9872,0.9796,2159,2115,university of michigan,18,20,1,44,0,27,44,0.012765957
0.976356,Drew D armstrong,A25,1,0.996,0.966,259,250,cornell university,10,10,2,18,0,1,9,0.004
0.976035,edward john b,A55,0.99,0.976,0.995,1609,1601,university of mimnesota,17,20,8,37,15,38,8,0.03310431
0.976034,kim henry,A86,0.995,0.991,0.975,2164,2111,university of chicago,18,29,4,140,9,18,53,0.012790147
0.97569,Aske plaat,A88,1,1,0.96,75,72,erasmus university,5,1,2,39,0,0,3,0
0.973385,CORONA,A33,0.994,1,0.959,563,540,Università degli Studi di Cagliari ,11,14,1,52,3,0,23,0.005555556
0.972397,perros harry,A39,0.99,1,0.96,434,420,"trinity colloge,dublin",9,8,6,88,1,0,14,0.002380952
0.972064,wildes Richard,A58,0.993,1,0.956,779,745,mit,13,16,5,32,5,0,34,0.006711409
0.971422,warren c whatley,A62,0.979,0.979,0.989,99,98,stanford university,4,3,2,10,2,2,1,0.040816327
0.970426,philip lawton brock,A74,0.972,0.972,1,37,37,stanford university,4,1,2,8,1,1,0,0.054054054
0.970405,David John Gallloway,A76,1,0.997,0.947,755,715,University of cambridge,12,14,2,60,0,2,40,0.002797203
0.970102,blackburn simon,A38,0.99,0.98,0.973,676,658,university of oxford,14,20,8,136,6,9,18,0.022796353
0.969103,Diane M,A23,1,0.98,0.96,94,90,university of california,5,5,6,14,1,2,4,0.033333333
0.969091,sherlin ehud,A89,0.997,0.994,0.949,395,375,university of alberta,9,8,3,53,1,2,20,0.008
0.968122,polina golland,A59,0.991,0.967,0.979,3765,3686,mit,26,30,6,92,31,120,79,0.040965817
0.968105,P Deveraj,A53,1,0.986,0.951,618,588,iit delhi,12,12,0,89,0,8,30,0.013605442
0.967777,takashi k,A65,0.998,0.987,0.951,4860,4626,kyoto university,38,30,3,221,7,59,234,0.014267185
0.967444,rosenbloom joshua,A63,1,0.986,0.949,316,300,stanford university,9,9,5,100,0,4,16,0.013333333
0.966144,Neil J Balmforth,A75,0.99,0.977,0.964,680,656,University of cambridge,13,16,1,32,7,15,24,0.033536585
0.966127,edward j,A90,0.999,0.949,0.983,3743,3682,university of north carolina,31,30,1,92,1,185,61,0.050516024
0.965804,tamal dey,A97,0.993,0.985,0.952,1028,979,purdue university,16,18,3,76,6,14,49,0.020429009
0.965798,KLAUS DERMET,A31,1,0.98,0.95,597,573,stanford university,14,16,3,25,0,6,24,0.010471204
0.964786,robert allen blecker,A61,1,0.993,0.934,335,313,stanford university,9,8,1,20,0,2,22,0.006389776
0.964476,minoux michael,A26,0.984,0.997,0.945,396,374,H.D.R. Université Pierre-et-Marie-Curie ,9,9,6,33,6,1,22,0.018716578
0.963737,Yue Liu,A2,0.99885,0.997,0.928,"1,416",1314,BROWN UNIVERSITY,19,29,3,74,2,4,102,0.00456621
0.962504,biezuner rodney ,A79,0.967,1,0.953,65,62,Rutgers University,3,3,1,7,2,0,3,0.032258065
0.96245,CIPERANI MIRELA,A35,1,1,0.92,38,35,PRINCETON UNIVERSITY,4,2,1,8,0,0,3,0
0.960504,cheng samuel,A82,0.9622,0.99,0.9617,1569,1509,University of Texas,22,42,6,155,57,15,60,0.047713718
0.960325,ran abramitzky,A41,1,0.9639,0.9495,496,471,northwestern university,12,13,1,35,0,17,25,0.036093418
0.959884,thomas m gerig,A91,0.978,0.961,0.973,189,184,university of north carolina,7,10,6,12,4,7,5,0.059782609
0.958802,masten mathew,A95,1,1,0.909,22,20,northwestern university,3,1,1,7,0,0,2,0
0.958543,bellinger christopher,A94,1,0.96,0.948,215,204,university of wisconsin-madison,7,7,7,18,0,8,11,0.039215686
0.95816,charles w calomiris,A64,1,0.993,0.914,881,806,stanford university,15,20,2,15,0,5,75,0.006203474
0.957879,brian stuart,A70,0.992,0.978,0.936,3748,3666,university of california,31,30,12,158,29,232,82,0.071194763
0.95782,Graham Vardy,A22,0.997,0.999,0.91,661,596,stanford university,13,10,2,47,2,1,65,0.005033557
